potato,6
onion,3
pepper,2
garlic,1
flour,3
milk,5
#412312018
Breakfast Burrito,1
Eggs and Bacon,2
Country Egg Scramble,4
Pancakes and Bacon,5
#212312018
egg,-16
tortilla,1
chorizo,0
bacon,-19
tomato,-7
potato,-15
onion,-1
pepper,-6
garlic,-2
flour,-11
milk,-5
#312312018
egg,17
tortilla,0
chorizo,0
bacon,17
tomato,0
potato,7
onion,1
pepper,3
garlic,3
flour,7
milk,0
